timestamp,open,high,low,close,volume,symbol
2025-03-02 20:54:42.248440,44928.29,45559.5,44686.77,45115.71,18734.2,BTC/USDT
2025-03-02 21:54:42.248440,45148.07,45741.73,45036.85,45085.4,35406.09,BTC/USDT
2025-03-02 22:54:42.248440,45465.79,45765.39,45063.87,45236.17,26017.37,BTC/USDT
2025-03-02 23:54:42.248440,45151.29,46084.7,45039.9,45590.64,36694.39,BTC/USDT
2025-03-03 00:54:42.248440,45490.3,46119.2,45337.22,45537.71,29169.1,BTC/USDT
2025-03-03 01:54:42.248440,45542.34,45653.17,45014.04,45484.85,62071.45,BTC/USDT
2025-03-03 02:54:42.248440,46026.99,46707.71,45694.17,45854.42,57395.39,BTC/USDT
2025-03-03 03:54:42.248440,45594.14,46499.07,45231.18,46035.89,28955.78,BTC/USDT
2025-03-03 04:54:42.248440,46260.14,46852.92,45253.71,45927.26,46330.11,BTC/USDT
2025-03-03 05:54:42.248440,46361.98,46577.45,46016.78,46056.13,26546.12,BTC/USDT
2025-03-03 06:54:42.248440,46098.41,46563.16,45433.46,45948.87,26415.32,BTC/USDT
2025-03-03 07:54:42.248440,45684.64,46208.48,45041.63,45841.33,21846.03,BTC/USDT
2025-03-03 08:54:42.248440,45886.48,45958.69,45778.64,45899.49,40395.91,BTC/USDT
2025-03-03 09:54:42.248440,45855.41,46236.82,45182.46,45455.04,53949.19,BTC/USDT
2025-03-03 10:54:42.248440,45186.27,45207.13,44871.51,45058.18,51499.14,BTC/USDT
2025-03-03 11:54:42.248440,45084.51,45754.15,44317.72,44930.58,51469.05,BTC/USDT
2025-03-03 12:54:42.248440,44506.79,45129.62,44244.84,44700.44,18638.4,BTC/USDT
2025-03-03 13:54:42.248440,44440.76,44951.77,44330.93,44773.67,31705.76,BTC/USDT
2025-03-03 14:54:42.248440,44557.52,45197.34,44040.98,44568.17,36485.69,BTC/USDT
2025-03-03 15:54:42.248440,44605.05,45217.57,44101.33,44249.59,22531.95,BTC/USDT
2025-03-03 16:54:42.248440,44159.56,44839.92,43590.93,44583.27,42377.18,BTC/USDT
2025-03-03 17:54:42.248440,44833.21,45000.49,44154.15,44533.42,38055.27,BTC/USDT
2025-03-03 18:54:42.248440,44487.37,44845.15,43863.85,44550.25,27682.65,BTC/USDT
2025-03-03 19:54:42.248440,44152.48,44510.02,43955.53,44228.99,49608.79,BTC/USDT
2025-03-03 20:54:42.248440,43902.28,44398.97,43767.92,44107.77,37255.5,BTC/USDT
2025-03-03 21:54:42.248440,43857.71,44471.98,43547.92,44134.21,56501.27,BTC/USDT
2025-03-03 22:54:42.248440,43844.29,44061.12,43338.53,43877.2,48692.19,BTC/USDT
2025-03-03 23:54:42.248440,43687.82,44472.82,43343.37,43962.87,32878.25,BTC/USDT
2025-03-04 00:54:42.248440,43708.03,44390.07,43415.47,43829.79,42649.19,BTC/USDT
2025-03-04 01:54:42.248440,43350.17,44013.44,43282.41,43766.05,21793.82,BTC/USDT
2025-03-04 02:54:42.248440,43435.3,43831.39,43182.71,43633.33,31913.94,BTC/USDT
2025-03-04 03:54:42.248440,44202.66,44338.23,44004.71,44049.19,22459.62,BTC/USDT
2025-03-04 04:54:42.248440,43739.2,44107.07,43452.74,44047.62,16400.6,BTC/USDT
2025-03-04 05:54:42.248440,43620.65,44209.07,43500.74,43811.97,49745.59,BTC/USDT
2025-03-04 06:54:42.248440,43788.73,44159.62,43766.26,43997.73,11020.57,BTC/USDT
2025-03-04 07:54:42.248440,44117.09,44343.61,43358.86,43725.93,41524.14,BTC/USDT
2025-03-04 08:54:42.248440,43850.77,44059.9,43481.06,43774.02,52029.43,BTC/USDT
