timestamp,open,high,low,close,volume,symbol
2025-03-02 20:54:42.248440,151.05,152.55,148.92,150.87,23417.04,SOL/USDT
2025-03-02 21:54:42.248440,150.33,153.19,148.87,150.96,16931.66,SOL/USDT
2025-03-02 22:54:42.248440,147.66,150.73,146.42,148.76,26786.69,SOL/USDT
2025-03-02 23:54:42.248440,150.33,151.22,149.29,149.56,63952.26,SOL/USDT
2025-03-03 00:54:42.248440,151.18,151.43,149.02,149.92,30011.55,SOL/USDT
2025-03-03 01:54:42.248440,150.5,152.07,149.07,149.13,13052.45,SOL/USDT
2025-03-03 02:54:42.248440,149.14,150.24,146.89,147.84,39350.93,SOL/USDT
2025-03-03 03:54:42.248440,149.05,151.21,148.49,148.81,38578.02,SOL/USDT
2025-03-03 04:54:42.248440,149.29,149.45,148.8,149.18,13620.97,SOL/USDT
2025-03-03 05:54:42.248440,150.14,150.15,148.95,149.17,14117.49,SOL/USDT
2025-03-03 06:54:42.248440,151.55,152.56,150.04,151.2,41367.49,SOL/USDT
2025-03-03 07:54:42.248440,149.79,151.76,149.76,150.43,41102.57,SOL/USDT
2025-03-03 08:54:42.248440,148.22,151.72,146.25,149.52,14314.18,SOL/USDT
2025-03-03 09:54:42.248440,149.7,153.12,149.38,151.07,30415.1,SOL/USDT
2025-03-03 10:54:42.248440,151.72,152.79,149.5,151.7,53147.76,SOL/USDT
2025-03-03 11:54:42.248440,151.98,153.64,150.69,152.41,43513.66,SOL/USDT
2025-03-03 12:54:42.248440,153.05,153.88,150.72,151.81,42356.28,SOL/USDT
2025-03-03 13:54:42.248440,150.75,151.53,150.63,151.24,38546.8,SOL/USDT
2025-03-03 14:54:42.248440,150.43,151.76,148.79,150.02,15628.96,SOL/USDT
2025-03-03 15:54:42.248440,149.72,152.63,148.84,150.43,48733.66,SOL/USDT
2025-03-03 16:54:42.248440,152.01,152.66,151.51,152.02,27876.55,SOL/USDT
2025-03-03 17:54:42.248440,150.35,150.98,148.33,150.73,25395.07,SOL/USDT
2025-03-03 18:54:42.248440,153.05,154.21,151.1,151.56,34635.02,SOL/USDT
2025-03-03 19:54:42.248440,153.34,155.49,150.15,152.01,29505.96,SOL/USDT
2025-03-03 20:54:42.248440,153.45,153.55,150.27,152.16,41910.45,SOL/USDT
2025-03-03 21:54:42.248440,152.49,153.59,150.96,152.91,48644.48,SOL/USDT
2025-03-03 22:54:42.248440,150.93,152.08,148.99,151.76,20696.17,SOL/USDT
2025-03-03 23:54:42.248440,153.85,156.06,151.77,152.38,40194.91,SOL/USDT
2025-03-04 00:54:42.248440,151.77,154.58,151.31,152.52,27665.77,SOL/USDT
2025-03-04 01:54:42.248440,153.06,155.18,152.17,152.82,59122.8,SOL/USDT
2025-03-04 02:54:42.248440,152.45,153.66,150.81,152.69,31649.38,SOL/USDT
